Symbol,YahooSymbol,LastAdjClose_2023,TotalReturn_2023,Rolling3Y_Beta_vs_SP500,AnnualVolatility_2023,MeanDailyVolume_2023,Status,Note
AOS,AOS, 79.92 ,42.4951%,0.98559539,0.278836335,1040891.6,OK,
APA,APA, 33.32 ,-15.7122%,1.231863955,0.37514139,4941251.2,OK,
APD,APD, 263.40 ,-8.4511%,0.787166729,0.247145651,970392.8,OK,
APH,APH, 48.87 ,31.0525%,1.103789911,0.185178411,5165844,OK,
APO,APO, 90.90 ,51.7687%,1.372794401,0.320287077,2545636,OK,
APTV,APTV, 89.72 ,-3.4750%,1.545919283,0.329127195,2032996,OK,
ARE,ARE, 117.26 ,-8.1255%,0.949522257,0.349125122,1097428,OK,
ATO,ATO, 111.05 ,6.9990%,0.468205953,0.18779069,908214.8,OK,
AVB,AVB, 178.11 ,20.3505%,0.753775416,0.226696208,768545.6,OK,
AVGO,AVGO, 109.36 ,106.2686%,1.371158683,0.321669747,26576792,OK,
AVY,AVY, 195.87 ,12.2879%,1.005140971,0.224065432,507450.8,OK,
AWK,AWK, 126.76 ,-12.6419%,0.682696193,0.216145171,1065717.6,OK,
AXON,AXON, 258.33 ,53.5485%,1.227947668,0.36201411,748448.4,OK,
AXP,AXP, 183.61 ,29.2215%,1.145860542,0.260890933,3160315.6,OK,
AZO,AZO," 2,585.61 ",6.3573%,0.623018978,0.212857987,154440,OK,
BA,BA, 260.66 ,33.4050%,1.217484627,0.271314649,5671587.6,OK,
BAC,BAC, 32.26 ,3.6060%,0.998327101,0.268956421,48273122,OK,
BALL,BALL, 56.17 ,12.3252%,0.851855505,0.323870687,1872596.4,OK,
BAX,BAX, 36.93 ,-22.0130%,0.563464144,0.324712358,5340919.6,OK,
BBY,BBY, 72.14 ,2.2571%,1.147976031,0.265633898,2415858,OK,
BDX,BDX, 235.96 ,-3.3837%,0.473186842,0.193295327,1254796.8,OK,
BEN,BEN, 27.04 ,13.7712%,1.328758716,0.278325701,3299233.2,OK,
BF.B,BF-B, 54.81 ,-10.9694%,0.659934595,0.238771633,1408698.8,OK,
BG,BG, 95.49 ,8.3543%,0.652669738,0.28625741,1355564.8,OK,
BIIB,BIIB, 258.77 ,-5.0838%,0.781916528,0.218731707,1024484,OK,
BK,BK, 49.73 ,16.5190%,0.942738359,0.241338007,5007417.6,OK,
BKNG,BKNG," 3,496.79 ",74.5499%,1.195137998,0.249525313,297037.2,OK,
BKR,BKR, 32.78 ,21.7960%,0.787321281,0.271406886,6855046,OK,
BLDR,BLDR, 166.94 ,155.4553%,1.577809043,0.417931445,1953930.8,OK,
BLK,BLK, 780.72 ,17.2976%,1.282673955,0.221463746,644524.8,OK,
BMY,BMY, 47.17 ,-26.4617%,0.317530307,0.193578711,10326534,OK,
BR,BR, 200.18 ,55.7320%,0.920883922,0.196988213,543336,OK,
BRK.B,BRK-B, 356.66 ,15.0850%,0.74108851,0.13667472,3351735.2,OK,
BRO,BRO, 70.38 ,26.4415%,0.900677778,0.203448958,1218106,OK,
BSX,BSX, 57.81 ,25.6466%,0.750219965,0.200585946,7886837.6,OK,
BX,BX, 124.93 ,78.0905%,1.697928534,0.347290524,4795933.2,OK,
BXP,BXP, 64.34 ,12.5774%,1.008202096,0.431576933,1654202,OK,
C,C, 48.54 ,17.5534%,0.980259561,0.254956707,17617432.4,OK,
CAG,CAG, 26.11 ,-23.0817%,0.289535806,0.186678196,4285399.2,OK,
CAH,CAH, 98.29 ,34.3925%,0.508913608,0.210735926,2281375.2,OK,
CARR,CARR, 56.41 ,40.2436%,1.118795721,0.297682837,4931574.4,OK,
CAT,CAT, 287.50 ,26.3073%,0.862818956,0.286657405,3059008.4,OK,
CB,CB, 221.58 ,4.1158%,0.632836515,0.203713628,1817816.8,OK,
CBOE,CBOE, 175.42 ,43.3827%,0.498149317,0.177251083,701225.6,OK,
CBRE,CBRE, 93.09 ,18.6767%,1.188428284,0.284335607,1681153.6,OK,
CCI,CCI, 104.46 ,-11.9742%,0.771438272,0.27601779,2899776.4,OK,
CCL,CCL, 18.54 ,132.6224%,1.938136249,0.498844623,35321134.4,OK,
CDNS,CDNS, 272.37 ,70.6151%,1.383499184,0.275429817,1618718.8,OK,
CDW,CDW, 222.41 ,28.1774%,1.103558175,0.241530888,815169.2,OK,
CEG,CEG, 115.57 ,44.4436%,0.890955601,0.269236108,1970138.8,OK,
CF,CF, 76.14 ,-0.9675%,0.67254594,0.314919256,2491643.6,OK,
CFG,CFG, 30.81 ,-11.3669%,1.204957476,0.412400541,6473711.6,OK,
CHD,CHD, 92.67 ,16.6773%,0.315331205,0.19130187,1447607.6,OK,
CHRW,CHRW, 82.60 ,-1.7289%,0.716549098,0.252160971,1192696.8,OK,
CHTR,CHTR, 388.68 ,13.7889%,0.892529897,0.316126086,1124128.4,OK,
CI,CI, 290.30 ,-5.1504%,0.574094244,0.306931109,1706381.6,OK,
CINF,CINF, 99.10 ,2.3793%,0.840615221,0.262265512,678528,OK,
CL,CL, 76.66 ,3.3368%,0.345855985,0.164374647,4637917.6,OK,
CLX,CLX, 134.36 ,3.5640%,0.299698543,0.248703106,1334422.4,OK,
CMCSA,CMCSA, 41.46 ,25.9197%,0.822887392,0.239869568,18727379.2,OK,
CME,CME, 198.37 ,30.7053%,0.515703165,0.179777805,1598015.6,OK,
CMG,CMG, 45.74 ,66.7938%,1.123086719,0.260397057,13330300,OK,
CMI,CMI, 230.48 ,2.2467%,0.84025121,0.244426789,904470.8,OK,
CMS,CMS, 54.94 ,-5.8061%,0.409548225,0.200271847,2174829.6,OK,
CNC,CNC, 74.21 ,-6.9350%,0.561090771,0.259229131,3447373.6,OK,
CNP,CNP, 27.26 ,-0.6941%,0.583440739,0.196991593,4078847.2,OK,
COF,COF, 127.85 ,44.3033%,1.299338653,0.326026109,2865358.4,OK,
COIN,COIN, 173.92 ,417.6191%,2.732590821,0.901004322,14375936.8,OK,
COO,COO, 94.61 ,13.7738%,0.986065263,0.229163117,1166876.8,OK,
COP,COP, 110.15 ,6.3827%,0.756453765,0.285695532,5791421.6,OK,
COR,COR, 202.35 ,26.4126%,0.458001678,0.162857533,1416052.4,OK,
COST,COST, 653.76 ,50.0624%,0.86988463,0.19123601,1864723.6,OK,
CPAY,CPAY, 282.61 ,54.2715%,1.141879718,0.272684027,513960.8,OK,
CPB,CPB, 40.54 ,-20.6827%,0.169970093,0.216288471,2640864.8,OK,
CPRT,CPRT, 49.00 ,59.4533%,1.150024242,0.216043391,4107345.2,OK,
CPT,CPT, 93.96 ,-6.6362%,0.721175493,0.242310698,851564,OK,
CRL,CRL, 236.40 ,8.2418%,1.197620127,0.352042227,518826,OK,
CRM,CRM, 260.40 ,95.2367%,1.392385092,0.296054564,6465235.2,OK,
CRWD,CRWD, 255.32 ,147.2115%,1.583036233,0.41675193,3946417.2,OK,
CSCO,CSCO, 47.99 ,8.6120%,0.828519614,0.203884393,18573332.4,OK,
CSGP,CSGP, 87.39 ,12.5435%,1.160733654,0.272846462,2204968.8,OK,
CSX,CSX, 33.79 ,13.8769%,0.866726479,0.20761008,12995272.4,OK,
CTAS,CTAS, 148.60 ,35.6123%,0.998293312,0.190541943,1487115.2,OK,
CTRA,CTRA, 24.07 ,15.0912%,0.705780495,0.28138187,7240176.8,OK,
CTSH,CTSH, 73.47 ,33.4462%,1.014617039,0.236547203,3755855.2,OK,
CTVA,CTVA, 47.02 ,-17.7180%,0.701437061,0.25455327,3678395.2,OK,
CVS,CVS, 73.28 ,-12.2701%,0.555752212,0.244954043,8638435.2,OK,
CVX,CVX, 138.19 ,-10.9026%,0.617880143,0.229921591,8647762,OK,
CZR,CZR, 46.88 ,10.9323%,2.1093158,0.456918018,2914773.6,OK,
D,D, 43.17 ,-21.2485%,0.448860763,0.238130521,4909261.6,OK,
DAL,DAL, 39.45 ,23.9722%,1.258201331,0.298507889,10048648,OK,
DASH,DASH, 98.89 ,104.4872%,2.008211941,0.441345163,4018170.8,OK,
DAY,DAY, 67.12 ,9.0141%,1.713993864,0.351433082,1289669.2,OK,
DD,DD, 74.25 ,13.9750%,1.049496952,0.23934837,2995976.8,OK,
DDOG,DDOG, 121.38 ,68.3729%,1.96673106,0.587950951,4680447.2,OK,
DE,DE, 391.33 ,-4.4843%,0.850512081,0.271853686,1615016,OK,
DECK,DECK, 111.40 ,71.7314%,1.246350233,0.311584596,2347370.4,OK,
DELL,DELL, 74.25 ,92.5943%,1.137315404,0.347889505,4475755.2,OK,
DG,DG, 130.76 ,-44.2411%,0.586347691,0.349569676,2968123.2,OK,
DGX,DGX, 133.06 ,-9.6635%,0.447112228,0.183405379,969685.6,OK,
DHI,DHI, 149.43 ,69.1498%,1.258076131,0.281647235,2862870.8,OK,
DHR,DHR, 229.23 ,-0.0531%,0.957431163,0.242708572,3194454.016,OK,
DIS,DIS, 89.10 ,1.8144%,1.099087657,0.264321861,13040488.4,OK,
DLR,DLR, 127.60 ,36.4629%,0.869915758,0.315270722,2391142,OK,
DLTR,DLTR, 142.05 ,1.2762%,0.749029657,0.305610229,2253486.4,OK,
DOC,DOC, 17.73 ,-17.6183%,0.790062485,0.292786598,4631746.4,OK,
DOV,DOV, 150.82 ,15.5066%,0.986148429,0.234311666,833323.2,OK,
DOW,DOW, 49.08 ,13.2455%,0.864842316,0.221047821,4543639.2,OK,
DPZ,DPZ, 402.06 ,23.2289%,0.72065693,0.293868421,674438.4,OK,
DRI,DRI, 155.19 ,21.3953%,0.932997429,0.177472405,1187945.6,OK,
DTE,DTE, 103.85 ,-3.0851%,0.465862867,0.194562647,1291717.2,OK,
DUK,DUK, 90.76 ,-2.3000%,0.3842929,0.180831417,3109659.6,OK,
DVA,DVA, 104.76 ,39.9786%,0.530465339,0.362597348,843462.4,OK,
DVN,DVN, 42.85 ,-17.2673%,1.078375888,0.339078529,9007493.2,OK,
DXCM,DXCM, 124.09 ,8.1583%,1.328344001,0.40382637,3334021.6,OK,
EA,EA, 135.58 ,12.0989%,0.584479731,0.205466867,2171440.4,OK,
EBAY,EBAY, 42.29 ,5.9149%,1.141403106,0.277875599,5383482,OK,
ECL,ECL, 194.97 ,36.3976%,1.053056715,0.206915517,1073320.4,OK,
ED,ED, 85.65 ,-1.5869%,0.354324496,0.179828563,1914561.2,OK,
EFX,EFX, 244.46 ,25.6314%,1.174723923,0.283666813,835353.2,OK,
EG,EG, 342.63 ,8.0061%,0.628205105,0.266657182,340051.2,OK,
EIX,EIX, 66.45 ,16.1711%,0.626939198,0.223985482,1845956.4,OK,
EL,EL, 141.12 ,-41.4996%,1.28600692,0.40912611,2271958.8,OK,
ELV,ELV, 458.83 ,-4.8925%,0.57048138,0.241507815,1163489.6,OK,
EMN,EMN, 84.13 ,13.6954%,1.128203418,0.280047328,938505.2,OK,
EMR,EMR, 94.34 ,3.6994%,0.916217159,0.229060402,3120404.8,OK,
ENPH,ENPH, 132.14 ,-47.8347%,1.756617401,0.609512643,4377412,OK,
EOG,EOG, 114.69 ,1.9654%,0.766487289,0.292101899,3316551.6,OK,
EPAM,EPAM, 297.34 ,-10.2830%,1.620170046,0.427539454,501155.2,OK,
EQIX,EQIX, 776.33 ,23.9893%,0.905692108,0.242257481,399074.8,OK,
EQR,EQR, 57.07 ,8.6362%,0.779106775,0.224387703,1969303.2,OK,
EQT,EQT, 37.64 ,23.5381%,0.970196817,0.368885199,6045452.8,OK,
ERIE,ERIE, 327.09 ,39.7485%,0.603788226,0.288667966,137949.6,OK,
ES,ES, 56.82 ,-23.7723%,0.506289002,0.239021146,2190315.2,OK,
ESS,ESS, 234.95 ,22.3257%,0.793180925,0.257843333,443063.2,OK,
ETN,ETN, 235.50 ,55.4315%,0.965922277,0.264612397,2003374.8,OK,
ETR,ETR, 47.60 ,-3.1863%,0.523680294,0.21013044,3024226.4,OK,
EVRG,EVRG, 48.42 ,-13.2769%,0.479837235,0.2099806,1713228.4,OK,
EW,EW, 76.25 ,2.6660%,0.993822937,0.279747552,3576623.6,OK,
EXC,EXC, 33.54 ,-13.8238%,0.578758124,0.2172804,6645738.8,OK,
EXE,EXE, 72.82 ,-6.6191%,0.807850989,0.284524146,1591116.8,OK,
EXPD,EXPD, 124.81 ,22.6045%,0.888013748,0.227753367,1245578.4,OK,
EXPE,EXPE, 150.83 ,73.1182%,1.429914612,0.425653876,2526314,OK,
EXR,EXR, 148.90 ,16.1417%,0.861919212,0.321317129,1461006,OK,
F,F, 10.73 ,15.3249%,1.391535507,0.35312859,58079229.2,OK,
FANG,FANG, 145.36 ,24.5787%,0.939968088,0.289982423,2033182.8,OK,
FAST,FAST, 30.49 ,43.7399%,0.883072099,0.212595797,6497168,OK,
FCX,FCX, 41.55 ,13.9258%,1.479312113,0.354183239,11732248.8,OK,
FDS,FDS, 469.06 ,18.5818%,0.789848821,0.203835987,262434.4,OK,
FDX,FDX, 243.39 ,45.7046%,1.002621155,0.274991564,2043262.4,OK,
FE,FE, 34.05 ,-9.0596%,0.504561273,0.200848517,3676494.4,OK,
FFIV,FFIV, 178.98 ,23.5623%,1.114588628,0.213824772,534522.4,OK,
FI,FI, 132.84 ,31.2519%,0.923278085,0.213899036,3137962.4,OK,
FICO,FICO," 1,164.01 ",96.8927%,1.251512794,0.254820794,212092,OK,
FIS,FIS, 58.01 ,-9.1369%,1.058096113,0.343296651,5428379.6,OK,
FITB,FITB, 32.63 ,10.9863%,1.209645588,0.391448992,6648580,OK,
FOX,FOX, 26.91 ,-0.8393%,0.727503433,0.231612984,1256204.8,OK,
FOXA,FOXA, 28.94 ,-0.5011%,0.696060588,0.235892204,3663135.6,OK,
FRT,FRT, 96.67 ,4.8703%,0.894204609,0.24217855,574234.4,OK,
FSLR,FSLR, 172.28 ,18.0485%,1.110900396,0.541934452,2337828,OK,
FTNT,FTNT, 58.53 ,20.6307%,1.518817383,0.404377631,5860862.8,OK,
FTV,FTV, 55.13 ,14.9273%,0.992180436,0.224711345,2646590.58,OK,
GD,GD, 250.50 ,6.9147%,0.585792442,0.181256864,1164724,OK,
GDDY,GDDY, 106.16 ,42.9572%,1.066413074,0.256223143,1420566.8,OK,
GE,GE, 100.86 ,92.9717%,0.986725236,0.242982978,7153772.168,OK,
GEHC,GEHC, 77.10 ,38.2380%,1.032352667,0.305573257,2964934,OK,
GEN,GEN, 22.08 ,8.3278%,0.712648258,0.310127418,4007134.8,OK,
GEV,GEV,,,,,,OK,
GILD,GILD, 76.21 ,-0.014648332,0.486139365,0.202686011,5840155.6,OK,
GIS,GIS, 60.87 ,-0.19359531,0.203245889,0.182206273,3839275.2,OK,
GL,GL, 119.83 ,0.025887962,0.732737212,0.188189622,528211.6,OK,
GLW,GLW, 29.13 ,-0.030527845,1.008604562,0.22336604,4232613.2,OK,
GM,GM, 35.26 ,0.073474942,1.345260039,0.340532663,15549538.4,OK,
GNRC,GNRC, 129.24 ,0.32268966,1.862031982,0.550621883,1301506,OK,
GOOG,GOOG, 139.97 ,0.571125662,1.341780822,0.306112429,25563388,OK,
GOOGL,GOOGL, 138.73 ,0.567437356,1.34501114,0.303981763,32728912.4,OK,
GPC,GPC, 131.40 ,-0.163405638,0.774064926,0.247050913,1009690,OK,
GPN,GPN, 124.76 ,0.278833417,1.207573096,0.311648541,1963420.8,OK,
GRMN,GRMN, 124.86 ,0.411593235,0.981725816,0.206999231,805659.2,OK,
GS,GS, 370.94 ,0.149547915,0.981373002,0.241259299,2342939.2,OK,
GWW,GWW, 816.78 ,0.506209622,0.810070891,0.258324813,273103.2,OK,
HAL,HAL, 34.60 ,-0.022756654,0.95393868,0.360145112,8303364.8,OK,
HAS,HAS, 47.28 ,-0.132845565,0.910085536,0.358595491,1823211.6,OK,
HBAN,HBAN, 11.82 ,-0.047203634,1.08395145,0.366989888,15949700.4,OK,
HCA,HCA, 266.98 ,0.123136641,0.940605946,0.217488716,1303054.4,OK,
HD,HD, 332.17 ,0.127515461,0.929341668,0.215213979,3659521.2,OK,
HIG,HIG, 78.00 ,0.092381078,0.717698323,0.214548164,1725258.8,OK,
HII,HII, 249.49 ,0.163345871,0.537465951,0.216804454,321104.4,OK,
HLT,HLT, 181.27 ,0.462185864,1.10395284,0.222412822,1674122,OK,
HOLX,HOLX, 71.45 ,-0.054268775,0.670972762,0.199248438,1664577.6,OK,
HON,HON, 202.14 ,0.000189278,0.817223931,0.18345207,2790429.6,OK,
HPE,HPE, 16.20 ,0.090341414,1.004183128,0.286538183,11993972.8,OK,
HPQ,HPQ, 28.20 ,0.166083079,1.186148598,0.24904224,7289027.6,OK,
HRL,HRL, 30.11 ,-0.278072104,0.209632337,0.218403372,2406670.4,OK,
HSIC,HSIC, 75.71 ,-0.04886934,0.663940499,0.229004365,938363.6,OK,
HST,HST, 18.04 ,0.285667399,1.142604299,0.27945372,6983196.4,OK,
HSY,HSY, 176.73 ,-0.16198977,0.327990361,0.172290883,1227385.2,OK,
HUBB,HUBB, 321.68 ,0.425168819,0.86708675,0.282689783,488656.628,OK,
HUM,HUM, 447.98 ,-0.078323683,0.446294756,0.275066235,1200565.2,OK,
HWM,HWM, 53.84 ,0.390756051,1.094191768,0.224005626,2666908.8,OK,
IBKR,IBKR, 20.38 ,0.175392005,0.91806755,0.285439884,4189161.6,OK,
IBM,IBM, 154.72 ,0.21280653,0.523209014,0.158041289,4456105.2,OK,
ICE,ICE, 125.82 ,0.263357212,0.804188091,0.18427384,2516644.8,OK,
IDXX,IDXX, 555.05 ,0.367084492,1.302017134,0.307816251,468682,OK,
IEX,IEX, 212.05 ,-0.042840573,0.831622871,0.209599776,472203.6,OK,
IFF,IFF, 78.74 ,-0.200829622,0.979097384,0.385613095,2093102,OK,
INCY,INCY, 62.79 ,-0.210685122,0.591038799,0.245595923,1792508.8,OK,
INTC,INTC, 49.59 ,0.923787586,1.266006467,0.385099504,41837428.8,OK,
INTU,INTU, 618.37 ,0.609461241,1.6077228,0.292489399,1551969.2,OK,
INVH,INVH, 32.11 ,0.21268651,0.834272517,0.234739556,2950141.6,OK,
IP,IP, 33.71 ,0.077780545,0.764373983,0.272496314,3105182.4,OK,
IPG,IPG, 30.12 ,0.001714719,1.049471495,0.279953969,4107100.8,OK,
IQV,IQV, 231.38 ,0.134994625,1.151126561,0.257857765,1094931.2,OK,
IR,IR, 77.22 ,0.461088598,1.151978684,0.245483239,2416634,OK,
IRM,IRM, 66.36 ,0.470583123,0.843077572,0.2230007,1451089.2,OK,
ISRG,ISRG, 337.36 ,0.270037191,1.353210373,0.288948878,1742184,OK,
IT,IT, 451.11 ,0.336661822,1.100421623,0.256518809,480119.2,OK,
ITW,ITW, 252.94 ,0.215531537,0.855711352,0.204624414,1069022,OK,
IVZ,IVZ, 16.39 ,0.028628913,1.509009125,0.320156898,4843194,OK,
J,J, 105.73 ,0.079269959,0.921144334,0.228617492,813457.416,OK,
JBHT,JBHT, 196.11 ,0.167660312,0.942746628,0.259153578,744412,OK,
JBL,JBL, 126.90 ,0.902739413,1.268137043,0.365912417,1486608.4,OK,
JCI,JCI, 56.00 ,-0.086846149,0.998934985,0.259862253,4259803.6,OK,
JKHY,JKHY, 159.73 ,-0.059493018,0.689318116,0.270714855,591894.8,OK,
JNJ,JNJ, 148.35 ,-0.093684762,0.325495466,0.165517817,11198728,OK,
JPM,JPM, 163.48 ,0.296406452,0.872213877,0.207768219,10746045.2,OK,
K,K, 52.94 ,-0.131845859,0.169010417,0.173206209,2563314.824,OK,
KDP,KDP, 31.50 ,-0.039400143,0.445259815,0.180557925,8453884.8,OK,
KEY,KEY, 13.19 ,-0.124802434,1.273064073,0.567461876,18625206.8,OK,
KEYS,KEYS, 159.09 ,-0.069322604,1.14359159,0.288764109,1282112.8,OK,
KHC,KHC, 33.82 ,-0.052057114,0.31040939,0.174165452,7413987.2,OK,
KIM,KIM, 19.67 ,0.057519289,1.027012558,0.282619451,4746241.2,OK,
KKR,KKR, 82.00 ,0.794774512,1.572795775,0.317224608,3239298.8,OK,
KLAC,KLAC, 572.25 ,0.562484028,1.714315665,0.342715447,1025838.8,OK,
KMB,KMB, 113.98 ,-0.080000397,0.281178175,0.151440339,1720953.2,OK,
KMI,KMI, 16.14 ,0.04518321,0.65679028,0.173773469,13095558.8,OK,
KMX,KMX, 76.74 ,0.265501297,1.388944559,0.423944927,2071121.6,OK,
KO,KO, 55.93 ,-0.034325665,0.472011666,0.134527283,13753245.6,OK,
KR,KR, 44.01 ,0.052467981,0.286680344,0.194548334,5040237.2,OK,
KVUE,KVUE, 20.13 ,-0.184374607,0.748864762,0.263874089,24908446.99,OK,
L,L, 69.22 ,0.19254653,0.736357296,0.181654981,810689.6,OK,
LDOS,LDOS, 106.25 ,0.049827582,0.511465361,0.259066927,859829.2,OK,
LEN,LEN, 140.65 ,0.642354231,1.274073061,0.272062761,2238970.484,OK,
LH,LH, 222.47 ,0.127232849,0.656940241,0.188428062,749640.6,OK,
LHX,LHX, 203.36 ,0.043099378,0.469727622,0.233473565,1198802.8,OK,
LII,LII, 441.91 ,0.879066164,1.063535401,0.291484869,306368.8,OK,
LIN,LIN, 401.84 ,0.307966265,0.894830609,0.197543107,1774308,OK,
LKQ,LKQ, 45.38 ,-0.093243428,1.039116653,0.210019932,1455234.4,OK,
LLY,LLY, 575.70 ,0.612837741,0.519252458,0.288923094,3064757.6,OK,
LMT,LMT, 432.29 ,-0.02513158,0.315702935,0.180689914,1232195.6,OK,
LNT,LNT, 48.27 ,-0.041157898,0.47301104,0.201978539,1557927.6,OK,
LOW,LOW, 215.16 ,0.141490149,0.975879945,0.235918389,2853163.2,OK,
LRCX,LRCX, 76.96 ,0.913608039,1.802053622,0.357504698,11862196,OK,
LULU,LULU, 511.29 ,0.581081084,1.359315991,0.326057779,1747354.4,OK,
LUV,LUV, 27.74 ,-0.089299914,1.013405381,0.307120915,7418382,OK,
LVS,LVS, 47.54 ,0.005138815,1.17675961,0.292893688,4767985.6,OK,
LW,LW, 104.03 ,0.252743202,0.663401141,0.254165018,1587349.2,OK,
LYB,LYB, 84.19 ,0.193204149,0.868493763,0.224299442,1950694,OK,
LYV,LYV, 93.60 ,0.359279664,1.212717703,0.315744314,1991599.6,OK,
MA,MA, 422.19 ,0.237348101,1.09751337,0.172063139,2635650.4,OK,
MAA,MAA, 125.09 ,-0.101685419,0.761426591,0.230432597,719770.8,OK,
MAR,MAR, 221.65 ,0.542383697,1.109349889,0.241154148,1789769.6,OK,
MAS,MAS, 65.06 ,0.442421451,1.087996815,0.275301711,1798518,OK,
MCD,MCD, 284.59 ,0.147137926,0.516068506,0.13966722,2697168.8,OK,
MCHP,MCHP, 86.25 ,0.330783076,1.68320729,0.330238387,4785456,OK,
MCK,MCK, 459.30 ,0.243964308,0.424933244,0.198650938,875154.8,OK,
MCO,MCO, 385.30 ,0.426227792,1.135312279,0.211533135,771186.8,OK,
MDLZ,MDLZ, 69.54 ,0.118442258,0.515357843,0.176589269,6236818.4,OK,
MDT,MDT, 78.38 ,0.08821439,0.681823644,0.214227231,5999576,OK,
MET,MET, 62.77 ,-0.052056125,0.889678426,0.273443146,4551937.6,OK,
META,META, 351.79 ,1.837582148,1.672622619,0.398289024,24230552,OK,
MGM,MGM, 44.68 ,0.342548135,1.45391631,0.331159471,4548681.6,OK,
MHK,MHK, 103.50 ,-0.031443015,1.318642568,0.361297417,698889.2,OK,
MKC,MKC, 66.10 ,-0.162656679,0.428531623,0.242883606,1601430.4,OK,
MKTX,MKTX, 285.88 ,0.038777123,0.897964045,0.365999302,383235.6,OK,
MLM,MLM, 494.04 ,0.485208083,1.084266279,0.257883287,373342.4,OK,
MMC,MMC, 184.63 ,0.157977121,0.802484681,0.167692421,1603181.2,OK,
MMM,MMM, 87.08 ,-0.053409489,0.73535397,0.272454726,4309883.1,OK,
MNST,MNST, 57.61 ,0.137189119,0.814577038,0.209985292,4669046.4,OK,
MO,MO, 35.30 ,-0.032952938,0.411055827,0.171675487,8101228,OK,
MOH,MOH, 361.31 ,0.132917291,0.624872359,0.267575049,454932,OK,
MOS,MOS, 33.94 ,-0.139917515,1.044025635,0.371482394,4014183.2,OK,
MPC,MPC, 142.96 ,0.368937256,0.785983325,0.300211755,3585753.6,OK,
MPWR,MPWR, 623.47 ,0.853640111,2.007943495,0.482468146,543057.6,OK,
MRK,MRK, 103.15 ,0.008371997,0.2692877,0.188584095,7674508,OK,
MRNA,MRNA, 99.45 ,-0.444382402,1.23154544,0.452495287,3891776,OK,
MS,MS, 88.05 ,0.129989887,1.084602562,0.259198429,7697518.4,OK,
MSCI,MSCI, 553.88 ,0.239711667,1.358952608,0.287416447,427922.4,OK,
MSFT,MSFT, 371.21 ,0.583497302,1.241413164,0.251203563,27677097.6,OK,
