Symbol,Security_x,GICS Sector,GICS Sub-Industry,US HQ City,US HQ State,Date Added S&P500,CIK,Founded,Filing Accession No.,Filing Date No.,Fiscal Year,Source Form,Revenue (Millions USD),Net Income (Millions USD),Total Liabilities (Millions USD),Total Shareholders Equity (Millions USD),Cash Flow from Operating (Millions USD),Debt-to-Equity Ratio (%),Debt-to-Equity Ratio (%) Category,Last Adjusted Close 2023 (USD),Total Return 2023 (USD),Rolling 3-Year Beta vs. SP500,Annual Volatility,Annual Volatility Category,Mean Daily Volume,State FIPS,Population Total,Median Household Income,Median Household Income Category,Unemployment Rate (%),Education Age 25+ Total,Education Level < 9th Grade,Education Level < 9th Grade (%),Education Level 9 - 12th Grad No Diploma,Education Level 9 - 12th Grad No Diploma (%),Education Level High School Graduate,Education Level High School Graduate (%),Education Level Some College No Degree,Education Level Some College No Degree (%),Education Level Associates Degree,Education Level Associates Degree (%),Education Level Bachelors,Education Level Bachelors (%),Education Level Graduate & Professional,Education Level Graduate & Professional (%),State,Median Earnings All Workers Age 25+ (USD),Median Earnings Less Than High School Diploma (USD),Median Earnings High School Diploma (USD),Median Earnings Some College or Associates (USD),Median Earnings Bachelors (USD),Median Earnings Graduate & Professional (USD),SeriesID,Sector Inflation Rate (YoY),Sector Inflation Rate (YoY) Category,US CPI (Annualized),US Consumer Inflation (Mean),US Market Volatility (Mean),Effective Fed Funds Rate (Mean)
ADSK,Autodesk,Information Technology,Application Software,San Francisco,California,1989-12-01,0000769397,1982,0000769397-24-000090,2024-06-10,2023,10-K,5005.0,823.0,9438.0,1145.0,2071.0,8.24279476,High,243.47999572753903,0.3150418782280189,1.589868739587938,0.3120269921700186,High,1402537.2,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
AEE,Ameren,Utilities,Multi-Utilities,St. Louis,Missouri,1991-09-19,0001002910,1902,0001002910-24-000056,2024-02-29,2023,10-K,7500.0,1157.0,40830.0,11349.0,2564.0,3.597673804,High,68.42874908447266,-0.156571886,0.4581803112798406,0.2198783547759111,Medium,1526511.6,29,6196156,68545,Medium,3.4240465272622247,4255810,50627,1.1895972799537573,6661,0.1565154459433104,14444,0.3393948508039597,74503,1.7506185661483948,64882,1.524551143025652,64608,1.518112885678637,1314700,30.891886620878285,29,47569,31777,37420,43300,61418,72423,CUSR0000SEHF,2.54,High,4.12,2.6,16.85,5.026
AEP,American Electric Power,Utilities,Electric Utilities,Columbus,Ohio,1957-03-04,0000004904,1906,0000004904-24-000020,2024-02-26,2023,10-K,18982.3,2212.6,71355.6,25246.7,5012.2,2.826333739,High,76.00765991210938,-0.109011787,0.4806400992002577,0.2083038820055046,Medium,3111331.2,39,11785935,67769,Medium,4.038141849854832,8172692,104311,1.276335875620909,12447,0.1522998786691092,24177,0.2958266382729215,139355,1.7051297173562887,105606,1.292181327768133,137764,1.6856624475754134,2738069,33.502657386329986,39,50072,31513,37990,44817,64933,80099,CUSR0000SEHF,2.54,High,4.12,2.6,16.85,5.026
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Arlington,Virginia,1998-10-02,0000874761,1981,0000874761-24-000011,2024-02-26,2023,10-K,12668.0,249.0,44799.0,2488.0,3034.0,18.00602894,High,17.641263961791992,-0.292774706,1.111647518626557,0.3421176858786457,High,6139890.8,51,8715698,89931,High,3.6726422496074296,6037339,100962,1.6722930416860806,23791,0.3940643386101062,46216,0.7655028150647164,93856,1.5545921804291591,78382,1.298287208983958,76836,1.272679900863609,1548502,25.648750219260503,51,56944,32661,41061,47086,74468,99947,CUSR0000SEHF,2.54,High,4.12,2.6,16.85,5.026
AFL,Aflac,Financials,Life & Health Insurance,Columbus,Georgia,1999-05-28,0000004977,1955,0000004977-24-000053,2024-02-22,2023,10-K,4800.0,4659.0,104739.0,21985.0,3190.0,4.764111894,High,79.43534851074219,0.1795330468641136,0.7118122626392208,0.1989522150977516,Medium,2413950.0,13,11029227,74632,Medium,4.422478233161034,7448119,149460,2.0066811499655146,40095,0.538323837,69882,0.9382503152809456,154841,2.0789275788960944,115913,1.5562721272310498,117459,1.5770290458570817,2102473,28.22824125124746,13,49406,31156,36820,43051,64185,81353,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
AIG,American International Group,Financials,Multi-line Insurance,New York City,New York,1980-03-31,0000005272,1919,0000005272-24-000023,2024-02-14,2023,10-K,46802.0,3643.0,488005.0,45351.0,6243.0,10.7606227,High,65.28263854980469,0.1033038542215198,0.9744179134721548,0.2617985430275513,Medium,3940188.0,36,19571216,82095,High,5.012532493757498,13885155,409137,2.946578558179581,116055,0.8358207020375357,151601,1.0918207250837315,278007,2.002188668401613,162577,1.170869176469402,177772,1.2803025965500563,3692296,26.59168010728004,36,55643,30707,39771,47596,74504,91457,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
AIZ,Assurant,Financials,Multi-line Insurance,Atlanta,Georgia,2007-04-10,0001267238,1892,0001267238-24-000008,2024-02-15,2023,10-K,11131.6,642.5,28825.7,4809.5,1138.1,5.993492047,High,163.9928436279297,0.350745859,0.6000825220586118,0.2768195038097754,Medium,395578.0,13,11029227,74632,Medium,4.422478233161034,7448119,149460,2.0066811499655146,40095,0.538323837,69882,0.9382503152809456,154841,2.0789275788960944,115913,1.5562721272310498,117459,1.5770290458570817,2102473,28.22824125124746,13,49406,31156,36820,43051,64185,81353,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Rolling Meadows,Illinois,2016-05-31,0000354190,1927,0000950170-24-013370,2024-02-09,2023,10-K,10071.9,969.5,40800.5,10775.3,2031.7,3.786483903,High,221.55194091796875,0.2133490872197223,0.7884076041388123,0.1910544758091871,Medium,857310.0,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Cambridge,Massachusetts,2007-07-12,0001086222,1998,0001086222-24-000040,2024-02-28,2023,10-K,3811.92,547.63,5302.88,4597.15,1348.44,1.153514678,Moderate,118.3499984741211,0.3928444953968633,0.7764707488130034,0.239150884794994,Medium,1559329.2,25,7001399,99858,High,3.942813633891204,4975152,102903,2.0683388165828904,41076,0.8256230161410144,36667,0.7370026081615194,77115,1.5500028943839304,43796,0.8802947126037556,46015,0.9248963649753816,1215772,24.43688152643377,25,65055,32493,43761,51190,79985,99844,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Charlotte,North Carolina,2016-07-01,0000915913,1994,0000915913-24-000016,2024-02-15,2023,10-K,9617.2,1573.48,18270.65,9412.18,1325.32,1.941170908,Moderate,139.8002471923828,-0.320573738,1.4974181028073603,0.4765761727402697,High,2249986.0,37,10835491,70804,Medium,4.032363126997053,7487552,118762,1.5861258793261137,34558,0.4615393656030702,68501,0.9148650987665928,150247,2.006623793731249,111314,1.4866541160582256,105374,1.4073224466421068,1948814,26.027385185438444,37,48491,30665,36723,41941,62338,77838,CUSR0000SACL1E,0.88,High,4.12,2.6,16.85,5.026
ALGN,Align Technology,Health Care,Health Care Supplies,Tempe,Arizona,2017-06-19,0001097149,1997,0001097149-24-000011,2024-02-28,2023,10-K,3862.26,445.05,2453.39,3630.49,785.78,0.675773794,Low,274.0,0.2907480760110241,1.7133552768114864,0.5601544275118616,High,929079.2,4,7431344,77315,Medium,4.253126020903723,5150254,108791,2.112342420393247,26597,0.5164211318509728,62513,1.2137847958566703,104303,2.0252010871696813,57249,1.1115762445891018,71982,1.3976398057260866,1318381,25.598368546483343,4,50828,32052,40648,46493,66683,81942,CPIMEDSL,0.46,High,4.12,2.6,16.85,5.026
ALL,Allstate,Financials,Property & Casualty Insurance,Northbrook,Illinois,1995-07-13,0000899051,1931,0000899051-24-000013,2024-02-21,2023,10-K,13786.0,-188.0,85732.0,17770.0,4228.0,4.824535734,High,135.10690307617188,0.0554447984301771,0.6142628365622885,0.2679919034876888,Medium,1782554.0,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
ALLE,Allegion,Industrials,Building Products,Carmel,Indiana,2013-12-02,0001579241,1908,0001579241-24-000006,2024-02-20,2023,10-K,3650.8,540.4,2993.2,1318.3,600.6,2.270499886,High,123.8994369506836,0.1954480545068027,1.0080453117011463,0.2621723906651911,Medium,784230.4,18,6862199,69477,Medium,3.6405304730709647,4614970,74753,1.619793844813726,9506,0.2059818373683902,25916,0.5615637804796131,103154,2.235204129170937,70032,1.517496321752904,73283,1.5879409833650056,1568414,33.98535635117888,18,48641,33420,39496,46180,60573,74916,CUSR0000SAS4,10.77,High,4.12,2.6,16.85,5.026
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Santa Clara,California,1995-03-16,0000006951,1967,0000006951-23-000041,2023-12-15,2023,10-K,26517.0,6856.0,14380.0,16349.0,8700.0,0.879564499,Low,159.5325469970703,0.69101806,1.7901194921919543,0.3389471503580848,High,5902540.4,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,Manchester,Michigan,2019-06-07,0001748790,1860,0001748790-25-000023,2025-08-15,2023,10-K,3443.0,1048.0,12913.0,4026.0,1261.0,3.207401888,High,8.930549621582031,-0.150274725,0.8112841553260252,0.2159938705769038,Medium,7783684.4,26,10037261,69183,Medium,4.463591355,7007856,104201,1.4869169686135104,15850,0.2261747387503396,25446,0.3631067761666335,89850,1.2821325095721143,91676,1.308188981052122,106832,1.5244605482761062,2066444,29.48753513200043,26,49307,32015,36823,42435,64810,81852,CUSR0000SACL1E,0.88,High,4.12,2.6,16.85,5.026
AMD,Advanced Micro Devices,Information Technology,Semiconductors,Santa Clara,California,2017-03-20,0000002488,1969,0000002488-24-000012,2024-01-31,2023,10-K,22680.0,854.0,67885.0,55892.0,1667.0,1.214574537,Moderate,147.41000366210938,1.3025618774079455,1.9804233733357623,0.4693961396618852,High,61603460.0,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
AME,Ametek,Industrials,Electrical Components & Equipment,Berwyn,Pennsylvania,2013-09-23,0001037868,1930,0001037868-24-000009,2024-02-22,2023,10-K,6596.95,1313.19,6293.34,8730.19,1735.3,0.720870909,Low,163.0153045654297,0.1813034998674216,0.8768449329780037,0.1831283359974978,Medium,977094.4,42,12961683,73824,Medium,4.238358097650372,9171006,124489,1.357419240593671,21923,0.2390468395724526,38000,0.4143493091161428,148416,1.6183175542574064,110152,1.2010896078358253,125673,1.3703294927513952,3181388,34.68962946922072,42,51475,32598,40336,46281,65678,83961,CUSR0000SAS4,10.77,High,4.12,2.6,16.85,5.026
AMGN,Amgen,Health Care,Biotechnology,Thousand Oaks,California,1992-01-02,0000318154,1980,0000318154-24-000011,2024-02-14,2023,10-K,28190.0,6717.0,97154.0,6232.0,8471.0,15.58953787,High,272.6903686523437,0.1389364568931488,0.4221164747805437,0.2076604784086803,Medium,2460316.4,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CPIMEDSL,0.46,High,4.12,2.6,16.85,5.026
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis,Minnesota,2005-10-03,0000820027,1894,0000820027-24-000015,2024-02-22,2023,10-K,16096.0,417.0,170462.0,4729.0,4685.0,36.04609854,High,371.2397766113281,0.2427080911380321,1.2840954911832556,0.2564690643568058,Medium,530108.0,27,5737915,85086,High,3.042486024857068,3941575,61230,1.5534399320068752,8058,0.2044360439671958,10795,0.2738752909687117,35938,0.9117675041068608,24105,0.6115575626494485,33839,0.8585146800454133,969536,24.59767986147669,27,56612,36832,42435,50406,71254,83613,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
AMT,American Tower,Real Estate,Telecom Tower REITs,Boston,Massachusetts,2007-11-19,0001053507,1995,0001053507-24-000011,2024-02-27,2023,10-K,11144.2,1367.1,55162.2,4198.2,4722.4,13.13948835,High,205.48765563964844,0.039917254,0.809135886,0.2679623422718901,Medium,2123144.8,25,7001399,99858,High,3.942813633891204,4975152,102903,2.0683388165828904,41076,0.8256230161410144,36667,0.7370026081615194,77115,1.5500028943839304,43796,0.8802947126037556,46015,0.9248963649753816,1215772,24.43688152643377,25,65055,32493,43761,51190,79985,99844,"CUUR0000SEHA, CUUR0000SEHC",7.71,High,4.12,2.6,16.85,5.026
AMZN,Amazon,Consumer Discretionary,Broadline Retail,Seattle,Washington,2005-11-18,0001018724,1994,0001018724-24-000008,2024-02-02,2023,10-K,574785.0,30425.0,527854.0,201875.0,84946.0,2.614756656,High,151.94000244140625,0.7704498133500892,1.512850818,0.3302668231225627,High,58837791.6,53,7812880,94605,High,4.481692498,5511197,91319,1.6569721604943537,23895,0.4335718719544955,42420,0.7697057463197197,59512,1.0798380097826297,44639,0.8099692317295135,57848,1.0496449319449117,1290031,23.4074557668688,53,61328,36828,44866,52013,78485,102656,CPIRECNS,4.02,High,4.12,2.6,16.85,5.026
ANET,Arista Networks,Information Technology,Communications Equipment,Santa Clara,California,2018-08-28,0001596532,2004,0001596532-24-000043,2024-02-13,2023,10-K,5860.17,2087.32,2727.75,7219.06,2034.01,0.377853903,Low,58.87749862670898,0.9478123180360118,1.3505875646960763,0.4569410931168447,High,10480801.6,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
AON,Aon plc,Financials,Insurance Brokers,Chicago,Illinois,1996-04-23,0000315293,1919,0001628280-24-005392,2024-02-16,2023,10-K,13376.0,2564.0,34701.0,-826.0,3435.0,-42.01089588,Negative,286.8639831542969,-0.020705093,0.784021165,0.1981223420148209,Medium,849178.8,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
AOS,A. O. Smith,Industrials,Building Products,Milwaukee,Wisconsin,2017-07-26,0000091142,1916,0000091142-24-000041,2024-02-13,2023,10-K,3852.8,556.6,1369.5,1844.4,670.3,0.742517892,Low,79.92494965,0.4249509438397079,0.9855952017242648,0.2788359093757783,Medium,1040891.6,55,5910955,74631,Medium,2.766320236,4116216,46095,1.1198391921123672,10237,0.2486992908049529,16255,0.3949015309206319,43932,1.0672909293389852,33467,0.8130525706133982,45314,1.1008654550684414,1278338,31.056144769856587,55,51525,35394,41604,48610,64320,76254,CUSR0000SAS4,10.77,High,4.12,2.6,16.85,5.026
APD,Air Products,Materials,Industrial Gases,Upper Macungie Township,Pennsylvania,1985-04-30,0000002969,1940,0000002969-23-000047,2023-11-16,2023,10-K,12600.0,2300.2,16342.2,14312.9,3205.7,1.14178119,Moderate,263.3988342285156,-0.084510481,0.7871662660450114,0.2471454528620133,Medium,970392.8,42,12961683,73824,Medium,4.238358097650372,9171006,124489,1.357419240593671,21923,0.2390468395724526,38000,0.4143493091161428,148416,1.6183175542574064,110152,1.2010896078358253,125673,1.3703294927513952,3181388,34.68962946922072,42,51475,32598,40336,46281,65678,83961,CUSR0000SACL1E,0.88,High,4.12,2.6,16.85,5.026
APH,Amphenol,Information Technology,Electronic Components,Wallingford,Connecticut,2008-09-30,0000820313,1932,0001558370-24-000866,2024-02-07,2023,10-K,12554.7,1928.0,8099.9,8346.5,2528.7,0.970454682,Low,48.86857223510742,0.3105245616138519,1.1037903811788348,0.1851782689090665,Medium,5165844.0,9,3617176,91665,High,4.594889379948432,2559922,39757,1.5530551321485575,15668,0.6120498983953417,22477,0.8780345651156559,38306,1.4963737176367091,21276,0.8311190731592604,29771,1.1629651215935486,697368,27.241767522604203,9,60473,32471,42120,49709,75975,91993,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,New York City,New York,2024-12-23,0001858681,1990,0001858681-24-000031,2024-02-27,2023,10-K,32644.0,5047.0,288243.0,14044.0,6322.0,20.52428083,High,90.89987182617188,0.5176871909904541,1.3727947810196246,0.3202870669903107,High,2545636.0,36,19571216,82095,High,5.012532493757498,13885155,409137,2.946578558179581,116055,0.8358207020375357,151601,1.0918207250837315,278007,2.002188668401613,162577,1.170869176469402,177772,1.2803025965500563,3692296,26.59168010728004,36,55643,30707,39771,47596,74504,91457,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Boston,Massachusetts,2012-12-24,0001521332,1994,0001521332-24-000011,2024-02-06,2023,10-K,20051.0,2938.0,12583.0,11548.0,1896.0,1.089625909,Moderate,89.72000122070312,-0.034749821,1.5459192826984731,0.3291271953982191,High,2032996.0,25,7001399,99858,High,3.942813633891204,4975152,102903,2.0683388165828904,41076,0.8256230161410144,36667,0.7370026081615194,77115,1.5500028943839304,43796,0.8802947126037556,46015,0.9248963649753816,1215772,24.43688152643377,25,65055,32493,43761,51190,79985,99844,CPIRECNS,4.02,High,4.12,2.6,16.85,5.026
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Pasadena,California,2017-03-20,0001035443,1994,0001035443-24-000072,2024-01-29,2023,10-K,2885.7,103.64,14148.41,18471.17,1630.55,0.765972594,Low,117.2625961303711,-0.081255118,0.949521668,0.3491250527283143,High,1097428.0,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,"CUUR0000SEHA, CUUR0000SEHC",7.71,High,4.12,2.6,16.85,5.026
